Constituency_No,Constituency_Name,Candidate,Party,Votes,Position,Alliance,Constituency_Type,Basmati,Region,Area,District_Name,Vote_Share_Percentage,Margin,Margin_Percentage,ENOP,Winner in 2019,Recontesting?,Agri,
29,RAI,SANDEEP KUMAR,Independent,74,12,Others,GEN,High,East Haryana,Semi-urban,SONIPAT,0.1,,,2,,No,50 - 65%,
29,RAI,BIJENDER KUMAR,Independent,66,13,Others,GEN,High,East Haryana,Semi-urban,SONIPAT,0,,,2,,No,50 - 65%,
29,RAI,MUKESH TAPSI,Rashtriya Majdoor Vikas Party,60,14,Others,GEN,High,East Haryana,Semi-urban,SONIPAT,0,,,2,,No,50 - 65%,
29,RAI,RAJESH KUMAR,Independent,60,15,Others,GEN,High,East Haryana,Semi-urban,SONIPAT,0,,,2,,No,50 - 65%,
30,KHARKHAUDA,PAWAN KHARKHODA,Bharatiya Janata Party,58084,1,BJP,SC,High,East Haryana,Semi-rural,SONIPAT,51.1,5635,5,2,,No,50 - 65%,
30,KHARKHAUDA,JAIVEER SINGH,Indian National Congress,52449,2,INC+,SC,High,East Haryana,Semi-rural,SONIPAT,46.1,,,2,,Yes,50 - 65%,
30,KHARKHAUDA,PRITAM KHOKAR,Indian National Lok Dal,1593,3,INLD+,SC,High,East Haryana,Semi-rural,SONIPAT,1.4,,,2,,No,50 - 65%,
30,KHARKHAUDA,MANJEET FARMANA,Aam Aadmi Party,397,4,AAP,SC,High,East Haryana,Semi-rural,SONIPAT,0.3,,,2,,No,50 - 65%,
30,KHARKHAUDA,NOTA,None of the Above,336,5,Others,SC,High,East Haryana,Semi-rural,SONIPAT,0.3,,,2,INC+,No,50 - 65%,
30,KHARKHAUDA,RAMESH KHATAK,Jannayak Janta Party,207,6,JNJP+,SC,High,East Haryana,Semi-rural,SONIPAT,0.2,,,2,,No,50 - 65%,
30,KHARKHAUDA,DR. PARVEEN KHARKHODA,Yuga Thulasi Party,188,7,Others,SC,High,East Haryana,Semi-rural,SONIPAT,0.2,,,2,,No,50 - 65%,
30,KHARKHAUDA,M. GAJE SINGH ADVOCATE,Independent,154,8,Others,SC,High,East Haryana,Semi-rural,SONIPAT,0.1,,,2,,No,50 - 65%,
30,KHARKHAUDA,SATNARAYAN,Independent,149,9,Others,SC,High,East Haryana,Semi-rural,SONIPAT,0.1,,,2,,No,50 - 65%,
30,KHARKHAUDA,AMAR SINGH BALMIKI,Rashtra Nirman Party,81,10,Others,SC,High,East Haryana,Semi-rural,SONIPAT,0.1,,,2,,No,50 - 65%,
30,KHARKHAUDA,RADHEY SHYAM,Peoples Party of India (Democratic),78,11,Others,SC,High,East Haryana,Semi-rural,SONIPAT,0.1,,,2,,No,50 - 65%,
31,SONIPAT,NIKHIL MADAAN,Bharatiya Janata Party,84827,1,BJP,GEN,High,East Haryana,Semi-urban,SONIPAT,58.6,29627,20.5,2,JNJP+,No,50 - 65%,
31,SONIPAT,SURENDER PANWAR,Indian National Congress,55200,2,INC+,GEN,High,East Haryana,Semi-urban,SONIPAT,38.1,,,2,,Yes,50 - 65%,
31,SONIPAT,DEVINDER GAUTAM,Aam Aadmi Party,1200,3,AAP,GEN,High,East Haryana,Semi-urban,SONIPAT,0.8,,,2,,No,50 - 65%,
31,SONIPAT,SARDHARAM SINGH,Indian National Lok Dal,1026,4,INLD+,GEN,High,East Haryana,Semi-urban,SONIPAT,0.7,,,2,,No,50 - 65%,
31,SONIPAT,RAJIV VERMA,Communist Party of India,763,5,Others,GEN,High,East Haryana,Semi-urban,SONIPAT,0.5,,,2,,No,50 - 65%,
31,SONIPAT,NOTA,None of the Above,729,6,Others,GEN,High,East Haryana,Semi-urban,SONIPAT,0.5,,,2,,No,50 - 65%,
31,SONIPAT,ISHWAR SINGH RATHEE,Socialist Unity Centre Of India (COMMUNIST),246,7,Others,GEN,High,East Haryana,Semi-urban,SONIPAT,0.2,,,2,,No,50 - 65%,
31,SONIPAT,RAJESH,Aazad Samaj Party (Kanshi Ram),227,8,JNJP+,GEN,High,East Haryana,Semi-urban,SONIPAT,0.2,,,2,,No,50 - 65%,
31,SONIPAT,RAMESH KHATRI LAMBERDAR,Independent,208,9,Others,GEN,High,East Haryana,Semi-urban,SONIPAT,0.1,,,2,,No,50 - 65%,
31,SONIPAT,DR. KAMLESH KUMAR SAINI,Independent,116,10,Others,GEN,High,East Haryana,Semi-urban,SONIPAT,0.1,,,2,,No,50 - 65%,
31,SONIPAT,SUSHIL KUMAR MANAV,Yuga Thulasi Party,104,11,Others,GEN,High,East Haryana,Semi-urban,SONIPAT,0.1,,,2,,No,50 - 65%,
31,SONIPAT,PAWAN SANATANI,Rashtriya Jatigat Aarakshan Virodhi Party,70,12,Others,GEN,High,East Haryana,Semi-urban,SONIPAT,0,,,2,,No,50 - 65%,
31,SONIPAT,DHARAMBIR FOJI,Independent,60,13,Others,GEN,High,East Haryana,Semi-urban,SONIPAT,0,,,2,INC+,No,50 - 65%,
32,GOHANA,ARVIND KUMAR SHARMA,Bharatiya Janata Party,57055,1,BJP,GEN,High,East Haryana,Rural,SONIPAT,43.6,10429,8,2,,No,50 - 65%,
32,GOHANA,JAGBIR SINGH MALIK,Indian National Congress,46626,2,INC+,GEN,High,East Haryana,Rural,SONIPAT,35.7,,,2,,Yes,50 - 65%,
32,GOHANA,HARSH CHHIKARA,Independent,14761,3,Others,GEN,High,East Haryana,Rural,SONIPAT,11.3,,,2,,No,50 - 65%,
32,GOHANA,RAJVIR SINGH DAHIYA,Independent,8824,4,Others,GEN,High,East Haryana,Rural,SONIPAT,6.7,,,2,,No,50 - 65%,
32,GOHANA,SHIV KUMAR RANGEELA,Aam Aadmi Party,954,5,AAP,GEN,High,East Haryana,Rural,SONIPAT,0.7,,,2,,No,50 - 65%,
32,GOHANA,DINESH KUMAR,Bahujan Samaj Party,925,6,INLD+,GEN,High,East Haryana,Rural,SONIPAT,0.7,,,2,,No,50 - 65%,
32,GOHANA,KULDEEP MALIK,Jannayak Janta Party,608,7,JNJP+,GEN,High,East Haryana,Rural,SONIPAT,0.5,,,2,,No,50 - 65%,
32,GOHANA,NOTA,None of the Above,438,8,Others,GEN,High,East Haryana,Rural,SONIPAT,0.3,,,2,,No,50 - 65%,
32,GOHANA,ARVIND,Independent,184,9,Others,GEN,High,East Haryana,Rural,SONIPAT,0.1,,,2,,No,50 - 65%,
32,GOHANA,ARUN NINANIYA,Independent,178,10,Others,GEN,High,East Haryana,Rural,SONIPAT,0.1,,,2,,No,50 - 65%,
32,GOHANA,SUNNY,Independent,140,11,Others,GEN,High,East Haryana,Rural,SONIPAT,0.1,,,2,,No,50 - 65%,
32,GOHANA,RAJBIR,Independent,93,12,Others,GEN,High,East Haryana,Rural,SONIPAT,0.1,,,2,,No,50 - 65%,
33,BARODA,INDURAJ SINGH NARWAL,Indian National Congress,54462,1,INC+,GEN,High,East Haryana,Rural,SONIPAT,41.9,5642,4.3,2,,Yes,50 - 65%,
33,BARODA,KAPOOR SINGH NARWAL,Independent,48820,2,Others,GEN,High,East Haryana,Rural,SONIPAT,37.6,,,2,,No,50 - 65%,
33,BARODA,PARDEEP SINGH SANGWAN,Bharatiya Janata Party,22584,3,BJP,GEN,High,East Haryana,Rural,SONIPAT,17.4,,,2,,No,50 - 65%,
33,BARODA,DHARAM VIR,Bahujan Samaj Party,1742,4,INLD+,GEN,High,East Haryana,Rural,SONIPAT,1.3,,,2,,No,50 - 65%,
33,BARODA,SANDEEP MALIK,Aam Aadmi Party,1286,5,AAP,GEN,High,East Haryana,Rural,SONIPAT,1,,,2,BJP,No,50 - 65%,
33,BARODA,DEEPAK MALIK,Jannayak Janta Party,605,6,JNJP+,GEN,High,East Haryana,Rural,SONIPAT,0.5,,,2,,No,50 - 65%,
33,BARODA,NOTA,None of the Above,272,7,Others,GEN,High,East Haryana,Rural,SONIPAT,0.2,,,2,,No,50 - 65%,
33,BARODA,DEVENDER KUMAR ALIAS NITU MOR,Independent,200,8,Others,GEN,High,East Haryana,Rural,SONIPAT,0.2,,,2,,No,50 - 65%,
34,JULANA,VINESH,Indian National Congress,65080,1,INC+,GEN,High,West Haryana,Rural,JIND,46.9,6015,4.3,2,,No,More than 65%,
34,JULANA,YOGESH KUMAR,Bharatiya Janata Party,59065,2,BJP,GEN,High,West Haryana,Rural,JIND,42.5,,,2,,No,More than 65%,
34,JULANA,SURENDER LATHER,Indian National Lok Dal,10158,3,INLD+,GEN,High,West Haryana,Rural,JIND,7.3,,,2,,No,More than 65%,
34,JULANA,AMARJEET DHANDA,Jannayak Janta Party,2477,4,JNJP+,GEN,High,West Haryana,Rural,JIND,1.8,,,2,,Yes,More than 65%,
34,JULANA,KAVITA RANI,Aam Aadmi Party,1280,5,AAP,GEN,High,West Haryana,Rural,JIND,0.9,,,2,,No,More than 65%,
34,JULANA,NOTA,None of the Above,202,6,Others,GEN,High,West Haryana,Rural,JIND,0.1,,,2,,No,More than 65%,
34,JULANA,BIJENDER KUMAR,Independent,164,7,Others,GEN,High,West Haryana,Rural,JIND,0.1,,,2,,No,More than 65%,
34,JULANA,PREM,Independent,117,8,Others,GEN,High,West Haryana,Rural,JIND,0.1,,,2,,No,More than 65%,
34,JULANA,COACH JASVIR SINGH AHLAWAT,Independent,90,9,Others,GEN,High,West Haryana,Rural,JIND,0.1,,,2,,No,More than 65%,
34,JULANA,AMIT SHARMA,Independent,76,10,Others,GEN,High,West Haryana,Rural,JIND,0.1,,,2,JNJP+,No,More than 65%,
34,JULANA,RAMRATTAN,Independent,69,11,Others,GEN,High,West Haryana,Rural,JIND,0,,,2,,No,More than 65%,
34,JULANA,JOGI SUNIL,Rashtriya Garib Dal,47,12,Others,GEN,High,West Haryana,Rural,JIND,0,,,2,,No,More than 65%,
34,JULANA,INDERJEET,Independent,46,13,Others,GEN,High,West Haryana,Rural,JIND,0,,,2,,No,More than 65%,
35,SAFIDON,RAM KUMAR GAUTAM,Bharatiya Janata Party,58983,1,BJP,GEN,High,West Haryana,Rural,JIND,40.2,4037,2.8,3,,No,More than 65%,
35,SAFIDON,SUBHASH GANGOLI,Indian National Congress,54946,2,INC+,GEN,High,West Haryana,Rural,JIND,37.5,,,3,,Yes,More than 65%,
35,SAFIDON,JASBIR DESWAL,Independent,20114,3,Others,GEN,High,West Haryana,Rural,JIND,13.7,,,3,,No,More than 65%,
35,SAFIDON,BACHAN SINGH ARYA,Independent,8807,4,Others,GEN,High,West Haryana,Rural,JIND,6,,,3,,No,More than 65%,
35,SAFIDON,PINKI KUNDU,Bahujan Samaj Party,822,5,INLD+,GEN,High,West Haryana,Rural,JIND,0.6,,,3,,No,More than 65%,
35,SAFIDON,SUSHIL BAIRAGI,Jannayak Janta Party,814,6,JNJP+,GEN,High,West Haryana,Rural,JIND,0.6,,,3,,No,More than 65%,
35,SAFIDON,VIPUL,Independent,420,7,Others,GEN,High,West Haryana,Rural,JIND,0.3,,,3,,No,More than 65%,
35,SAFIDON,ADVOCATE RINKU MUANA,Republican Party of India (A),299,8,Others,GEN,High,West Haryana,Rural,JIND,0.2,,,3,,No,More than 65%,
35,SAFIDON,GURMEET,Independent,298,9,Others,GEN,High,West Haryana,Rural,JIND,0.2,,,3,,No,More than 65%,
35,SAFIDON,VIJAY PAL,Independent,224,10,Others,GEN,High,West Haryana,Rural,JIND,0.2,,,3,,No,More than 65%,
35,SAFIDON,NISHA DESWAL,Aam Aadmi Party,193,11,AAP,GEN,High,West Haryana,Rural,JIND,0.1,,,3,,No,More than 65%,
35,SAFIDON,AJIT KUMAR,Independent,192,12,Others,GEN,High,West Haryana,Rural,JIND,0.1,,,3,,No,More than 65%,
35,SAFIDON,NOTA,None of the Above,172,13,Others,GEN,High,West Haryana,Rural,JIND,0.1,,,3,,No,More than 65%,
35,SAFIDON,SUYAG,Independent,107,14,Others,GEN,High,West Haryana,Rural,JIND,0.1,,,3,,No,More than 65%,
35,SAFIDON,RAKESH KUMAR,Right to Recall Party,94,15,Others,GEN,High,West Haryana,Rural,JIND,0.1,,,3,,No,More than 65%,
35,SAFIDON,SUBHASH SAINI,Independent,74,16,Others,GEN,High,West Haryana,Rural,JIND,0.1,,,3,,No,More than 65%,
35,SAFIDON,MONU LOHAN,Independent,65,17,Others,GEN,High,West Haryana,Rural,JIND,0,,,3,JNJP+,No,More than 65%,
35,SAFIDON,SUSHIL KUMAR,Independent,31,18,Others,GEN,High,West Haryana,Rural,JIND,0,,,3,,No,More than 65%,
36,JIND,DR KRISHAN LAL MIDDHA,Bharatiya Janata Party,68920,1,BJP,GEN,High,West Haryana,Semi-rural,JIND,51,15860,11.7,2,,No,More than 65%,
36,JIND,MAHAVIR GUPTA,Indian National Congress,53060,2,INC+,GEN,High,West Haryana,Semi-rural,JIND,39.2,,,2,,No,More than 65%,
36,JIND,PRADEEP SINGH,Independent,7639,3,Others,GEN,High,West Haryana,Semi-rural,JIND,5.6,,,2,,No,More than 65%,
36,JIND,WAZIR DHANDA,Aam Aadmi Party,2078,4,AAP,GEN,High,West Haryana,Semi-rural,JIND,1.5,,,2,,No,More than 65%,
36,JIND,NARENDER NATH SHARMA,Indian National Lok Dal,1127,5,INLD+,GEN,High,West Haryana,Semi-rural,JIND,0.8,,,2,,No,More than 65%,
36,JIND,DHARAM PAL TANWAR,Jannayak Janta Party,1014,6,JNJP+,GEN,High,West Haryana,Semi-rural,JIND,0.7,,,2,,No,More than 65%,
36,JIND,NOTA,None of the Above,547,7,Others,GEN,High,West Haryana,Semi-rural,JIND,0.4,,,2,,No,More than 65%,
36,JIND,RITU RAJ BAMNIYA,Independent,373,8,Others,GEN,High,West Haryana,Semi-rural,JIND,0.3,,,2,,No,More than 65%,
36,JIND,RITESH SANGWAN SANGU,Independent,100,9,Others,GEN,High,West Haryana,Semi-rural,JIND,0.1,,,2,JNJP+,No,More than 65%,
36,JIND,VED PARKASH,Independent,98,10,Others,GEN,High,West Haryana,Semi-rural,JIND,0.1,,,2,,No,More than 65%,
36,JIND,ANKIT KUMAR,Independent,83,11,Others,GEN,High,West Haryana,Semi-rural,JIND,0.1,,,2,,No,More than 65%,
36,JIND,RAM PARKASH TAYAL,Independent,80,12,Others,GEN,High,West Haryana,Semi-rural,JIND,0.1,,,2,,No,More than 65%,
36,JIND,VIKAS,Independent,62,13,Others,GEN,High,West Haryana,Semi-rural,JIND,0,,,2,,No,More than 65%,
36,JIND,SURESH CHAND,Independent,55,14,Others,GEN,High,West Haryana,Semi-rural,JIND,0,,,2,,No,More than 65%,
37,UCHANA KALAN,DEVENDER CHATAR BHUJ ATTRI,Bharatiya Janata Party,48968,1,BJP,GEN,High,West Haryana,Rural,JIND,29.5,32,0,4,,No,More than 65%,less than 1000
37,UCHANA KALAN,BRIJENDRA SINGH,Indian National Congress,48936,2,INC+,GEN,High,West Haryana,Rural,JIND,29.5,,,4,,No,More than 65%,
37,UCHANA KALAN,VIRENDER GHOGHARIAN,Independent,31456,3,Others,GEN,High,West Haryana,Rural,JIND,18.9,,,4,,No,More than 65%,
37,UCHANA KALAN,VIKAS,Independent,13458,4,Others,GEN,High,West Haryana,Rural,JIND,8.1,,,4,,No,More than 65%,
37,UCHANA KALAN,DUSHYANT CHAUTALA,Jannayak Janta Party,7950,5,JNJP+,GEN,High,West Haryana,Rural,JIND,4.8,,,4,,Yes,More than 65%,
37,UCHANA KALAN,DILBAG SANDIL,Independent,7373,6,Others,GEN,High,West Haryana,Rural,JIND,4.4,,,4,,No,More than 65%,
37,UCHANA KALAN,VINOD PAL SINGH DULGANCH,Indian National Lok Dal,2653,7,INLD+,GEN,High,West Haryana,Rural,JIND,1.6,,,4,BJP,No,More than 65%,
37,UCHANA KALAN,PAWAN FAUJI,Aam Aadmi Party,2495,8,AAP,GEN,High,West Haryana,Rural,JIND,1.5,,,4,,No,More than 65%,
37,UCHANA KALAN,BIJENDER,Independent,338,9,Others,GEN,High,West Haryana,Rural,JIND,0.2,,,4,,No,More than 65%,
37,UCHANA KALAN,AMARJEET SINGH,Shiromani Akali Dal (Amritsar)(Simranjit Singh Mann),308,10,Others,GEN,High,West Haryana,Rural,JIND,0.2,,,4,,No,More than 65%,
37,UCHANA KALAN,ISHWAR KHATKAR FOUJI,Independent,266,11,Others,GEN,High,West Haryana,Rural,JIND,0.2,,,4,,No,More than 65%,
37,UCHANA KALAN,DEVENDER,Independent,241,12,Others,GEN,High,West Haryana,Rural,JIND,0.1,,,4,,No,More than 65%,
37,UCHANA KALAN,COMRADE PAL SINGH,Independent,230,13,Others,GEN,High,West Haryana,Rural,JIND,0.1,,,4,,No,More than 65%,
37,UCHANA KALAN,BIJENDER SINGH,Independent,230,14,Others,GEN,High,West Haryana,Rural,JIND,0.1,,,4,,No,More than 65%,
37,UCHANA KALAN,MASTER AJIT ARYA,Republican Party of India (A),192,15,Others,GEN,High,West Haryana,Rural,JIND,0.1,,,4,,No,More than 65%,
37,UCHANA KALAN,DEVENDER SHEORAN,Independent,191,16,Others,GEN,High,West Haryana,Rural,JIND,0.1,,,4,,No,More than 65%,
37,UCHANA KALAN,NOTA,None of the Above,187,17,Others,GEN,High,West Haryana,Rural,JIND,0.1,,,4,,No,More than 65%,
37,UCHANA KALAN,VIRENDER PAL,Independent,181,18,Others,GEN,High,West Haryana,Rural,JIND,0.1,,,4,,No,More than 65%,
37,UCHANA KALAN,JOGIENDER,Independent,153,19,Others,GEN,High,West Haryana,Rural,JIND,0.1,,,4,,No,More than 65%,
37,UCHANA KALAN,COMRADE RAMESH KHATKAR,Independent,127,20,Others,GEN,High,West Haryana,Rural,JIND,0.1,,,4,,No,More than 65%,
37,UCHANA KALAN,GURMAIL SINGH,Independent,73,21,Others,GEN,High,West Haryana,Rural,JIND,0,,,4,,No,More than 65%,
38,NARWANA,KRISHAN KUMAR,Bharatiya Janata Party,59474,1,BJP,SC,High,West Haryana,Rural,JIND,37.2,11499,7.2,3,,No,More than 65%,
38,NARWANA,SATBIR DABLAIN,Indian National Congress,47975,2,INC+,SC,High,West Haryana,Rural,JIND,30,,,3,,No,More than 65%,
38,NARWANA,VIDYA RANI DANODA,Indian National Lok Dal,46303,3,INLD+,SC,High,West Haryana,Rural,JIND,29,,,3,,No,More than 65%,
38,NARWANA,ANIL RANGA,Aam Aadmi Party,2374,4,AAP,SC,High,West Haryana,Rural,JIND,1.5,,,3,BJP,No,More than 65%,
38,NARWANA,SANTOSH DANODA,Jannayak Janta Party,1547,5,JNJP+,SC,High,West Haryana,Rural,JIND,1,,,3,,No,More than 65%,
38,NARWANA,MANIRAM,Communist Party of India,579,6,Others,SC,High,West Haryana,Rural,JIND,0.4,,,3,,No,More than 65%,
38,NARWANA,GURMAIL,Independent,466,7,Others,SC,High,West Haryana,Rural,JIND,0.3,,,3,,No,More than 65%,
38,NARWANA,NOTA,None of the Above,460,8,Others,SC,High,West Haryana,Rural,JIND,0.3,,,3,,No,More than 65%,
38,NARWANA,COMRADE SATYAVIR SINGH,Independent,352,9,Others,SC,High,West Haryana,Rural,JIND,0.2,,,3,,No,More than 65%,
38,NARWANA,RAM LAL KALYAN,Aam Janshakti Party,166,10,Others,SC,High,West Haryana,Rural,JIND,0.1,,,3,,No,More than 65%,
38,NARWANA,KITABA,Independent,114,11,Others,SC,High,West Haryana,Rural,JIND,0.1,,,3,,No,More than 65%,
39,TOHANA,PARAMVIR SINGH,Indian National Congress,88522,1,INC+,GEN,Low,West Haryana,Rural,FATEHABAD,49.1,10836,6,2,,No,More than 65%,
39,TOHANA,DEVENDER SINGH BABLI,Bharatiya Janata Party,77686,2,BJP,GEN,Low,West Haryana,Rural,FATEHABAD,43,,,2,,Yes,More than 65%,
39,TOHANA,KUNAL KARAN SINGH,Indian National Lok Dal,9773,3,INLD+,GEN,Low,West Haryana,Rural,FATEHABAD,5.4,,,2,INC+,No,More than 65%,
39,TOHANA,SUKHVINDER SINGH S/O AVTAR SINGH,Aam Aadmi Party,1616,4,AAP,GEN,Low,West Haryana,Rural,FATEHABAD,0.9,,,2,,No,More than 65%,
39,TOHANA,NOTA,None of the Above,698,5,Others,GEN,Low,West Haryana,Rural,FATEHABAD,0.4,,,2,,No,More than 65%,
39,TOHANA,HAWA SINGH KHOBRA,Jannayak Janta Party,591,6,JNJP+,GEN,Low,West Haryana,Rural,FATEHABAD,0.3,,,2,,No,More than 65%,
39,TOHANA,SUKHVINDER SINGH S/O BALDEV SINGH,Independent,394,7,Others,GEN,Low,West Haryana,Rural,FATEHABAD,0.2,,,2,,No,More than 65%,
39,TOHANA,RAMESHWAR LAL,Independent,324,8,Others,GEN,Low,West Haryana,Rural,FATEHABAD,0.2,,,2,INC+,No,More than 65%,
39,TOHANA,RAY SINGH,Independent,311,9,Others,GEN,Low,West Haryana,Rural,FATEHABAD,0.2,,,2,,No,More than 65%,
39,TOHANA,KARAMBIR,Independent,264,10,Others,GEN,Low,West Haryana,Rural,FATEHABAD,0.1,,,2,,No,More than 65%,
39,TOHANA,NARENDER SIWACH TINU,Independent,151,11,Others,GEN,Low,West Haryana,Rural,FATEHABAD,0.1,,,2,,No,More than 65%,
39,TOHANA,DHARAMPAL SHERE GILL,Independent,70,12,Others,GEN,Low,West Haryana,Rural,FATEHABAD,0,,,2,,No,More than 65%,
39,TOHANA,NIKHIL KUMAR,Independent,67,13,Others,GEN,Low,West Haryana,Rural,FATEHABAD,0,,,2,,No,More than 65%,
40,FATEHABAD,BALWAN SINGH DOULATPURIA,Indian National Congress,86172,1,INC+,GEN,Low,West Haryana,Rural,FATEHABAD,44.1,2252,1.2,2,,No,More than 65%,
40,FATEHABAD,DURA RAM,Bharatiya Janata Party,83920,2,BJP,GEN,Low,West Haryana,Rural,FATEHABAD,43,,,2,,Yes,More than 65%,
40,FATEHABAD,SUNAINA CHAUTALA,Indian National Lok Dal,9681,3,INLD+,GEN,Low,West Haryana,Rural,FATEHABAD,5,,,2,,No,More than 65%,
40,FATEHABAD,RAJENDER CHOUDHARY URF KAKA,Independent,5816,4,Others,GEN,Low,West Haryana,Rural,FATEHABAD,3,,,2,,No,More than 65%,
40,FATEHABAD,SUBHASH CHANDER GORCHHIA,Jannayak Janta Party,3249,5,JNJP+,GEN,Low,West Haryana,Rural,FATEHABAD,1.7,,,2,,No,More than 65%,
40,FATEHABAD,KAMAL BISLA,Aam Aadmi Party,2803,6,AAP,GEN,Low,West Haryana,Rural,FATEHABAD,1.4,,,2,,No,More than 65%,
40,FATEHABAD,NOTA,None of the Above,718,7,Others,GEN,Low,West Haryana,Rural,FATEHABAD,0.4,,,2,Others,No,More than 65%,
40,FATEHABAD,VINOD KUMAR,Independent,585,8,Others,GEN,Low,West Haryana,Rural,FATEHABAD,0.3,,,2,,No,More than 65%,
40,FATEHABAD,SANJAY KUMAR,Independent,381,9,Others,GEN,Low,West Haryana,Rural,FATEHABAD,0.2,,,2,,No,More than 65%,
40,FATEHABAD,SUDHIR,Independent,375,10,Others,GEN,Low,West Haryana,Rural,FATEHABAD,0.2,,,2,,No,More than 65%,
40,FATEHABAD,VIKRAM JEET KARWASRA,Mission Ekta Party,322,11,Others,GEN,Low,West Haryana,Rural,FATEHABAD,0.2,,,2,,No,More than 65%,
40,FATEHABAD,VISHVAMITTR,Independent,301,12,Others,GEN,Low,West Haryana,Rural,FATEHABAD,0.2,,,2,,No,More than 65%,
40,FATEHABAD,DARBARA SINGH,Independent,215,13,Others,GEN,Low,West Haryana,Rural,FATEHABAD,0.1,,,2,,No,More than 65%,
40,FATEHABAD,BANTI BARETH,Peoples Party of India (Democratic),193,14,Others,GEN,Low,West Haryana,Rural,FATEHABAD,0.1,,,2,,No,More than 65%,
40,FATEHABAD,JAIBIR,Independent,144,15,Others,GEN,Low,West Haryana,Rural,FATEHABAD,0.1,,,2,,No,More than 65%,
40,FATEHABAD,SIMARJEET SINGH,Independent,130,16,Others,GEN,Low,West Haryana,Rural,FATEHABAD,0.1,,,2,,No,More than 65%,
40,FATEHABAD,RAMAN,Independent,129,17,Others,GEN,Low,West Haryana,Rural,FATEHABAD,0.1,,,2,,No,More than 65%,
40,FATEHABAD,MANDEEP KUMAR,Independent,75,18,Others,GEN,Low,West Haryana,Rural,FATEHABAD,0,,,2,,No,More than 65%,
40,FATEHABAD,TAHIR HUSAIN,Independent,67,19,Others,GEN,Low,West Haryana,Rural,FATEHABAD,0,,,2,,No,More than 65%,
41,RATIA,JARNAIL SINGH,Indian National Congress,86426,1,INC+,SC,Low,West Haryana,Rural,FATEHABAD,52.5,21442,13,2,,No,More than 65%,
41,RATIA,SUNITA DUGGAL,Bharatiya Janata Party,64984,2,BJP,SC,Low,West Haryana,Rural,FATEHABAD,39.5,,,2,Others,No,More than 65%,
41,RATIA,RAMSARUP RAMA,Indian National Lok Dal,5769,3,INLD+,SC,Low,West Haryana,Rural,FATEHABAD,3.5,,,2,,No,More than 65%,
41,RATIA,MUKHTYAR SINGH BAZIGAR,Aam Aadmi Party,3280,4,AAP,SC,Low,West Haryana,Rural,FATEHABAD,2,,,2,,No,More than 65%,
41,RATIA,NOTA,None of the Above,1050,5,Others,SC,Low,West Haryana,Rural,FATEHABAD,0.6,,,2,,No,More than 65%,
41,RATIA,RAMESH,Jannayak Janta Party,1000,6,JNJP+,SC,Low,West Haryana,Rural,FATEHABAD,0.6,,,2,,No,More than 65%,
41,RATIA,TEJPAL,Independent,610,7,Others,SC,Low,West Haryana,Rural,FATEHABAD,0.4,,,2,,No,More than 65%,
41,RATIA,SURJIT SINGH PARDHAN,Peoples Party of India (Democratic),540,8,Others,SC,Low,West Haryana,Rural,FATEHABAD,0.3,,,2,,No,More than 65%,
41,RATIA,RAJ KUMAR,Independent,396,9,Others,SC,Low,West Haryana,Rural,FATEHABAD,0.2,,,2,,No,More than 65%,
41,RATIA,SURENDER KUMAR PHOOLAN,Independent,229,10,Others,SC,Low,West Haryana,Rural,FATEHABAD,0.1,,,2,,No,More than 65%,
41,RATIA,RAJBIR,Independent,220,11,Others,SC,Low,West Haryana,Rural,FATEHABAD,0.1,,,2,,No,More than 65%,
42,KALANWALI,SHISHPAL KEHARWALA,Indian National Congress,66728,1,INC+,SC,High,West Haryana,Rural,SIRSA,47.5,22959,16.3,2,,Yes,More than 65%,
42,KALANWALI,RAJINDER SINGH DESUJODHA,Bharatiya Janata Party,43769,2,BJP,SC,High,West Haryana,Rural,SIRSA,31.1,,,2,,No,More than 65%,
42,KALANWALI,GURTEJ SINGH,Indian National Lok Dal,24200,3,INLD+,SC,High,West Haryana,Rural,SIRSA,17.2,,,2,,No,More than 65%,
42,KALANWALI,JASDEV SINGH,Aam Aadmi Party,3629,4,AAP,SC,High,West Haryana,Rural,SIRSA,2.6,,,2,INLD+,No,More than 65%,
42,KALANWALI,GURJANT SINGH,Jannayak Janta Party,1405,5,JNJP+,SC,High,West Haryana,Rural,SIRSA,1,,,2,,No,More than 65%,
42,KALANWALI,NOTA,None of the Above,852,6,Others,SC,High,West Haryana,Rural,SIRSA,0.6,,,2,,No,More than 65%,
43,DABWALI,ADITYA DEVILAL,Indian National Lok Dal,56074,1,INLD+,GEN,High,West Haryana,Rural,SIRSA,34.4,610,0.4,3,,No,More than 65%,less than 1000
43,DABWALI,AMIT SIHAG,Indian National Congress,55464,2,INC+,GEN,High,West Haryana,Rural,SIRSA,34,,,3,,Yes,More than 65%,
43,DABWALI,DIGVIJAY SINGH CHAUTALA,Jannayak Janta Party,35261,3,JNJP+,GEN,High,West Haryana,Rural,SIRSA,21.6,,,3,,No,More than 65%,
43,DABWALI,BALDEV SINGH MANGIANA,Bharatiya Janata Party,7139,4,BJP,GEN,High,West Haryana,Rural,SIRSA,4.4,,,3,,No,More than 65%,
43,DABWALI,KULDEEP SINGH GADRANA,Aam Aadmi Party,6606,5,AAP,GEN,High,West Haryana,Rural,SIRSA,4.1,,,3,,No,More than 65%,
